Time,Open,High,Low,Close,Volume
1995.10.08 00:00,1.58150,1.59350,1.56660,1.57590,9115
1995.10.15 00:00,1.57480,1.58110,1.56600,1.57280,7885
1995.10.22 00:00,1.57480,1.58800,1.56950,1.57730,9455
1995.10.29 00:00,1.57690,1.58410,1.57170,1.57900,8095
1995.11.05 00:00,1.57750,1.58700,1.56300,1.56600,8645
1995.11.12 00:00,1.56770,1.57140,1.53900,1.54310,12495
1995.11.19 00:00,1.54510,1.56660,1.53810,1.55980,9995
1995.11.26 00:00,1.55910,1.56120,1.52330,1.53120,12815
1995.12.03 00:00,1.53240,1.54700,1.52030,1.53290,10945
1995.12.10 00:00,1.53340,1.54730,1.52630,1.53750,8875
1995.12.17 00:00,1.53850,1.54800,1.53400,1.54480,7785
1995.12.24 00:00,1.54460,1.56300,1.53510,1.54980,13795
1995.12.31 00:00,1.54700,1.56050,1.54120,1.55110,9164
1996.01.07 00:00,1.54820,1.55460,1.53960,1.54700,7805
1996.01.14 00:00,1.54600,1.54800,1.50340,1.51070,9915
1996.01.21 00:00,1.51190,1.51960,1.49700,1.50450,10995
1996.01.28 00:00,1.50250,1.52670,1.50140,1.52560,8015
1996.02.04 00:00,1.52800,1.54570,1.52700,1.53150,8545
1996.02.11 00:00,1.52720,1.55350,1.52470,1.55220,8275
1996.02.18 00:00,1.54390,1.55240,1.53620,1.54010,8415
1996.02.25 00:00,1.54050,1.54490,1.52370,1.52900,8055
1996.03.03 00:00,1.52890,1.53340,1.51500,1.52390,7975
1996.03.10 00:00,1.52050,1.53200,1.51600,1.52960,7625
1996.03.17 00:00,1.52770,1.54150,1.52530,1.53680,6465
1996.03.24 00:00,1.53480,1.53610,1.51670,1.52690,8335
1996.03.31 00:00,1.52500,1.53220,1.52100,1.52950,5265
1996.04.07 00:00,1.52770,1.53320,1.50430,1.51450,8975
1996.04.14 00:00,1.51100,1.52550,1.50400,1.51420,8155
1996.04.21 00:00,1.51130,1.51870,1.50440,1.51220,6275
1996.04.28 00:00,1.51310,1.51560,1.48900,1.50750,10145
1996.05.05 00:00,1.50580,1.53000,1.50550,1.52090,7915
1996.05.12 00:00,1.52000,1.52310,1.50960,1.51330,6565
1996.05.19 00:00,1.51140,1.51710,1.50650,1.51250,6315
1996.05.26 00:00,1.51150,1.55490,1.50940,1.55280,8705
1996.06.02 00:00,1.55230,1.55750,1.53550,1.53650,10095
1996.06.09 00:00,1.53760,1.54360,1.52700,1.53630,8005
1996.06.16 00:00,1.53520,1.55060,1.53450,1.53600,7185
1996.06.23 00:00,1.53720,1.55590,1.53300,1.55310,7385
1996.06.30 00:00,1.55120,1.56500,1.54930,1.55790,7085
1996.07.07 00:00,1.55660,1.55870,1.54650,1.55200,6115
1996.07.14 00:00,1.55160,1.56500,1.53680,1.54520,10285
1996.07.21 00:00,1.54050,1.56320,1.53940,1.55540,7555
1996.07.28 00:00,1.55470,1.56220,1.53920,1.54310,7315
1996.08.04 00:00,1.54350,1.55450,1.53400,1.55140,7255
1996.08.11 00:00,1.55200,1.55400,1.54530,1.54840,5265
1996.08.18 00:00,1.54840,1.55800,1.54200,1.55690,6775
1996.08.25 00:00,1.55650,1.56600,1.55220,1.56500,6285
1996.09.01 00:00,1.56070,1.57260,1.55750,1.56000,7715
1996.09.08 00:00,1.56000,1.56260,1.55020,1.55440,6275
1996.09.15 00:00,1.55470,1.56420,1.54850,1.55590,7355
1996.09.22 00:00,1.55400,1.56850,1.55090,1.56370,6925
1996.09.29 00:00,1.56270,1.57050,1.56010,1.56600,5545
1996.10.06 00:00,1.56420,1.57810,1.56020,1.57600,5595
1996.10.13 00:00,1.57860,1.59420,1.57690,1.58900,7055
1996.10.20 00:00,1.59060,1.61000,1.58800,1.60450,9395
1996.10.27 00:00,1.60300,1.64420,1.60170,1.63650,11735
1996.11.03 00:00,1.63650,1.65730,1.63180,1.64950,11705
1996.11.10 00:00,1.64820,1.67050,1.64100,1.66420,11335
1996.11.17 00:00,1.66320,1.69200,1.66100,1.68050,9275
1996.11.24 00:00,1.68160,1.68540,1.66460,1.68230,9625
1996.12.01 00:00,1.68270,1.68820,1.60950,1.64730,21515
1996.12.08 00:00,1.64350,1.66400,1.64010,1.65570,10905
1996.12.15 00:00,1.65420,1.67630,1.65230,1.67230,10435
1996.12.22 00:00,1.67000,1.69550,1.66740,1.69250,8195
1996.12.29 00:00,1.69220,1.71730,1.68280,1.68780,12634
1997.01.05 00:00,1.68720,1.70280,1.67400,1.68050,12705
1997.01.12 00:00,1.67590,1.68560,1.66460,1.66900,12425
1997.01.19 00:00,1.66770,1.67120,1.61800,1.62980,15405
1997.01.26 00:00,1.62680,1.63150,1.59450,1.60220,16655
1997.02.02 00:00,1.59750,1.64750,1.59690,1.62850,13895
1997.02.09 00:00,1.63260,1.64610,1.61500,1.62350,13425
1997.02.16 00:00,1.61930,1.62350,1.59800,1.61780,12575
1997.02.23 00:00,1.61950,1.64320,1.61600,1.62920,11615
1997.03.02 00:00,1.62770,1.63100,1.59700,1.60350,10795
1997.03.09 00:00,1.60160,1.61000,1.58790,1.60250,12055
1997.03.16 00:00,1.60220,1.60670,1.58490,1.60490,10185
1997.03.23 00:00,1.60290,1.63500,1.60090,1.63110,8615
1997.03.30 00:00,1.62870,1.65600,1.62850,1.63490,11235
1997.04.06 00:00,1.63300,1.63600,1.61670,1.62430,10155
1997.04.13 00:00,1.62800,1.63570,1.61790,1.63400,8645
1997.04.20 00:00,1.63220,1.64040,1.61540,1.62380,9645
1997.04.27 00:00,1.62530,1.63460,1.60000,1.62300,12445
1997.05.04 00:00,1.62300,1.64200,1.60850,1.62350,17245
1997.05.11 00:00,1.62200,1.64980,1.61470,1.63700,11845
1997.05.18 00:00,1.63570,1.66080,1.62220,1.63590,12495
1997.05.25 00:00,1.63750,1.64550,1.62650,1.64150,9185
1997.06.01 00:00,1.64080,1.64380,1.61880,1.63290,12205
1997.06.08 00:00,1.63170,1.64420,1.62500,1.63490,9525
1997.06.15 00:00,1.63450,1.65850,1.63200,1.65720,7615
1997.06.22 00:00,1.65680,1.67350,1.65220,1.66350,10775
1997.06.29 00:00,1.66370,1.69380,1.64900,1.68700,12755
1997.07.06 00:00,1.68870,1.70020,1.68000,1.68830,11565
1997.07.13 00:00,1.68770,1.69400,1.66380,1.67850,13415
